iter	Passed	Remaining
1598	64747	82078
1599	64777	82024
1600	64820	81987
1601	64872	81961
1602	64913	81921
1603	64946	81872
1604	64989	81834
1605	65021	81782
1606	65055	81734
1607	65091	81687
1608	65126	81640
1609	65151	81581
1610	65194	81543
1611	65220	81485
1612	65265	81449
1613	65311	81417
1614	65354	81379
1615	65394	81338
1616	65425	81286
1617	65470	81251
1618	65497	81194
1619	65537	81152
1620	65566	81099
1621	65607	81058
1622	65654	81026
1623	65691	80981
1624	65732	80941
1625	65769	80897
1626	65806	80852
1627	65838	80801
1628	65872	80753
1629	65913	80714
1630	65957	80677
1631	65987	80624
1632	66030	80587
1633	66073	80549
1634	66098	80490
1635	66130	80440
1636	66172	80401
1637	66216	80364
1638	66260	80329
1639	66305	80294
1640	66336	80242
1641	66373	80197
1642	66406	80148
1643	66452	80115
1644	66486	80066
1645	66527	80026
1646	66567	79985
1647	66593	79927
1648	66624	79876
1649	66650	79818
1650	66682	79768
1651	66734	79741
1652	66785	79713
1653	66819	79666
1654	66860	79627
1655	66902	79588
1656	66935	79539
1657	66973	79495
1658	67009	79449
1659	67048	79407
